Category,Resume
Python Developer,"Backend Python developer specializing in scalable web applications. Expert in Django REST Framework, Celery, and RabbitMQ. Strong database design skills with PostgreSQL and MongoDB. Experience with Docker, Kubernetes, and AWS services. Passionate about clean code and test-driven development. Strong background in agile methodology and team collaboration."
Python Developer,"Python developer with strong experience in Django, Flask, and FastAPI frameworks. Built RESTful APIs serving millions of requests. Proficient in PostgreSQL, Redis, and Docker. Implemented CI/CD pipelines and automated testing. Experience with microservices architecture and cloud deployment on AWS. Passionate about continuous learning and professional development."
DotNet Developer,".NET developer with expertise in C#, ASP.NET Core, and Entity Framework. Built enterprise applications using microservices architecture. Experience with Azure, SQL Server, and Docker. Proficient in REST API development and agile methodologies. Experience working in cross-functional distributed teams."
Data Science,"Experienced data scientist with expertise in Python, machine learning, and statistical analysis. Built predictive models using scikit-learn, TensorFlow, and XGBoost. Proficient in SQL, Pandas, and data visualization with Tableau. Conducted A/B testing and implemented recommendation systems. Experience with NLP, deep learning, and cloud platforms like AWS SageMaker. Excellent problem-solving abilities and attention to detail."
ETL Developer,"ETL developer with expertise in building data integration pipelines using Informatica and Apache Spark. Experience with data warehousing, data modeling, and cloud migration. Proficient in SQL, Python, and Airflow for workflow orchestration. Strong background in agile methodology and team collaboration."
Java Developer,"Java developer with 5+ years of experience in Spring Boot and microservices. Built enterprise applications using Spring MVC, Hibernate, and JPA. Proficient in Apache Kafka, Redis, and Oracle databases. Experience with Docker, Kubernetes, and CI/CD pipelines using Jenkins. Passionate about continuous learning and professional development."
DevOps Engineer,"Cloud infrastructure engineer specializing in Kubernetes orchestration and GitOps practices. Experience with multi-cloud environments (AWS, Azure, GCP). Built automated deployment pipelines using Jenkins and ArgoCD. Expert in infrastructure as code with Terraform and Ansible. Excellent problem-solving abilities and attention to detail."
Web Designing,"Frontend developer skilled in React, Angular, and Vue.js. Created responsive web applications using HTML5, CSS3, and JavaScript. Proficient in TypeScript, Tailwind CSS, and modern build tools. Experience with RESTful APIs, GraphQL, and state management libraries. Passionate about continuous learning and professional development."
Business Analyst,"Business analyst with strong analytical skills in SQL, Excel, and Tableau. Experienced in requirements gathering, stakeholder management, and Agile methodology. Created business requirement documents and conducted gap analysis. Proficient in JIRA, Confluence, and process mapping."
DevOps Engineer,"Cloud infrastructure engineer specializing in Kubernetes orchestration and GitOps practices. Experience with multi-cloud environments (AWS, Azure, GCP). Built automated deployment pipelines using Jenkins and ArgoCD. Expert in infrastructure as code with Terraform and Ansible. Passionate about continuous learning and professional development."
